hospital_id,hospital_name,city,hospital_type
1,Hospital_1,Bangalore,Public
2,Hospital_2,Mumbai,Private
3,Hospital_3,Chennai,Private
4,Hospital_4,Delhi,Public
5,Hospital_5,Mumbai,Public
6,Hospital_6,Bangalore,Private
7,Hospital_7,Delhi,Private
8,Hospital_8,Chennai,Private
9,Hospital_9,Kolkata,Public
10,Hospital_10,Pune,Private
11,Hospital_11,Kolkata,Public
12,Hospital_12,Hyderabad,Public
13,Hospital_13,Bangalore,Private
14,Hospital_14,Hyderabad,Private
15,Hospital_15,Mumbai,Private
16,Hospital_16,Mumbai,Private
17,Hospital_17,Bangalore,Private
18,Hospital_18,Bangalore,Private
19,Hospital_19,Ahmedabad,Private
20,Hospital_20,Delhi,Public
21,Hospital_21,Hyderabad,Private
22,Hospital_22,Kolkata,Public
23,Hospital_23,Bangalore,Private
24,Hospital_24,Chennai,Private
25,Hospital_25,Pune,Private
26,Hospital_26,Bangalore,Private
27,Hospital_27,Bangalore,Public
28,Hospital_28,Delhi,Public
29,Hospital_29,Bangalore,Private
30,Hospital_30,Chennai,Private
31,Hospital_31,Kolkata,Private
32,Hospital_32,Chennai,Private
33,Hospital_33,Pune,Private
34,Hospital_34,Mumbai,Private
35,Hospital_35,Bangalore,Public
36,Hospital_36,Chennai,Public
37,Hospital_37,Kolkata,Public
38,Hospital_38,Kolkata,Public
39,Hospital_39,Delhi,Private
40,Hospital_40,Kolkata,Private
41,Hospital_41,Bangalore,Public
42,Hospital_42,Pune,Private
43,Hospital_43,Chennai,Public
44,Hospital_44,Kolkata,Private
45,Hospital_45,Pune,Private
46,Hospital_46,Ahmedabad,Public
47,Hospital_47,Mumbai,Public
48,Hospital_48,Delhi,Public
49,Hospital_49,Mumbai,Private
50,Hospital_50,Chennai,Public
51,Hospital_51,Hyderabad,Public
52,Hospital_52,Hyderabad,Private
53,Hospital_53,Hyderabad,Private
54,Hospital_54,Hyderabad,Private
55,Hospital_55,Kolkata,Public
56,Hospital_56,Hyderabad,Public
57,Hospital_57,Ahmedabad,Public
58,Hospital_58,Mumbai,Private
59,Hospital_59,Chennai,Private
60,Hospital_60,Delhi,Private
61,Hospital_61,Bangalore,Public
62,Hospital_62,Mumbai,Private
63,Hospital_63,Hyderabad,Private
64,Hospital_64,Ahmedabad,Private
65,Hospital_65,Ahmedabad,Private
66,Hospital_66,Pune,Public
67,Hospital_67,Bangalore,Public
68,Hospital_68,Ahmedabad,Public
69,Hospital_69,Pune,Private
70,Hospital_70,Chennai,Public
71,Hospital_71,Mumbai,Public
72,Hospital_72,Kolkata,Public
73,Hospital_73,Pune,Private
74,Hospital_74,Kolkata,Private
75,Hospital_75,Delhi,Private
76,Hospital_76,Ahmedabad,Private
77,Hospital_77,Hyderabad,Public
78,Hospital_78,Chennai,Public
79,Hospital_79,Mumbai,Private
80,Hospital_80,Hyderabad,Public
81,Hospital_81,Chennai,Private
82,Hospital_82,Bangalore,Private
83,Hospital_83,Mumbai,Public
84,Hospital_84,Delhi,Public
85,Hospital_85,Bangalore,Private
86,Hospital_86,Ahmedabad,Public
87,Hospital_87,Delhi,Private
88,Hospital_88,Kolkata,Private
89,Hospital_89,Bangalore,Public
90,Hospital_90,Hyderabad,Private
91,Hospital_91,Chennai,Private
92,Hospital_92,Ahmedabad,Public
93,Hospital_93,Kolkata,Public
94,Hospital_94,Bangalore,Private
95,Hospital_95,Mumbai,Public
96,Hospital_96,Bangalore,Private
97,Hospital_97,Ahmedabad,Private
98,Hospital_98,Hyderabad,Public
99,Hospital_99,Mumbai,Private
100,Hospital_100,Pune,Private
101,Hospital_101,Ahmedabad,Private
102,Hospital_102,Mumbai,Private
103,Hospital_103,Chennai,Private
104,Hospital_104,Hyderabad,Private
105,Hospital_105,Bangalore,Public
106,Hospital_106,Ahmedabad,Private
107,Hospital_107,Hyderabad,Private
108,Hospital_108,Kolkata,Public
109,Hospital_109,Hyderabad,Private
110,Hospital_110,Chennai,Public
111,Hospital_111,Delhi,Private
112,Hospital_112,Bangalore,Private
113,Hospital_113,Ahmedabad,Private
114,Hospital_114,Delhi,Public
115,Hospital_115,Mumbai,Private
116,Hospital_116,Ahmedabad,Private
117,Hospital_117,Mumbai,Private
118,Hospital_118,Ahmedabad,Private
119,Hospital_119,Kolkata,Private
120,Hospital_120,Kolkata,Private
121,Hospital_121,Delhi,Public
122,Hospital_122,Hyderabad,Private
123,Hospital_123,Delhi,Private
124,Hospital_124,Delhi,Public
125,Hospital_125,Delhi,Public
